species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Sarcolaena oblongifolia F.Gérard,white to cream,actinomorphic,bees & flies,Sarcolaena (Sarcolaenaceae) flowers are moderately open and likely visited by generalist insects such as bees and flies; direct pollination data are not published,mixed_mating,likely_SC,inference,low
Cordia myxa L.,white to cream,actinomorphic,bees & butterflies,"Cordia (Boraginaceae/now largely Cordiaceae) has white, open flowers producing nectar; typical pollinators are bees and sometimes butterflies in related species",mixed_mating,likely_SC,inference,medium
Sporobolus centrifugus (Trin.) Nees,greenish,none,wind,"As a grass in the Poaceae, flower structures are reduced and wind pollination is the dominant mechanism typical of the genus Sporobolus; many dropseeds show high self-fertilization within ensheathed panicles",mainly_selfing,likely_SI,inference,medium
Pycreus polystachyos (Rottb.) P.Beauv.,greenish to brownish,none,wind,Pycreus (formerly Cyperus polystachyos) is a sedge (Cyperaceae) with reduced flowers; sedges are generally wind-pollinated with small spikelets,obligate_outcrossing,likely_SI,flora,high  [oai_citation:0‡Plants of the World Online](https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A77170728-1?utm_source=chatgpt.com)
Radamaea montana Benth.,white to cream,actinomorphic,bees & flies,"Radamaea (Gentianaceae) produces showy open flowers typical of insect pollination, likely generalist bees and flies; species-level studies lacking",mixed_mating,likely_SI,inference,low
Sarcolaena oblongifolia F.Gérard,white to cream,actinomorphic,bees & flies,Sarcolaena (Sarcolaenaceae) flowers are moderately open and likely visited by generalist insects such as bees and flies; direct pollination data are not published,mixed_mating,likely_SC,inference,low
Cordia myxa L.,white to cream,actinomorphic,bees & butterflies,"Cordia (Boraginaceae/now largely Cordiaceae) has white, open flowers producing nectar; typical pollinators are bees and sometimes butterflies in related species",mixed_mating,likely_SC,inference,medium
Woodfordia fruticosa (L.) Kurz,red,tubular,bees,Lythraceae; bee-pollinated,mixed_mating,likely_SC,review,medium
Brachylaena merana (Baker) Humbert,white,composite,insects,Asteraceae,mixed_mating,likely_SC,inference,medium
Chassalia bojeri Bremek.,white to cream,actinomorphic,bees & flies,"Chassalia (Rubiaceae) flowers are small, often nectariferous and visited by generalist insects in related species; specific pollination study for C. bojeri not found",mixed_mating,likely_SI,inference,low
Croton elaeagni Baill.,greenish to yellow,actinomorphic,flies & general insects,"Croton (Euphorbiaceae) flowers are typically unisexual and small; many Croton species attract generalist insects such as flies and small bees, specific data for C. elaeagni lacking",mixed_mating,likely_SC,inference,low
Pentopetia grevei (Baill.) Venter,white to cream,actinomorphic,bees & flies,"Pentopetia (Apocynaceae) genus flowers are likely insect-pollinated based on floral morphology (nectar and generalist insect visitors) common in Apocynaceae, no species studies found",mixed_mating,likely_SI,inference,low
Commelina madagascarica C.B.Clarke,blue,zygomorphic,bees & flies,"Commelina species generally have blue showy flowers that attract bees and butterflies (and flies). In related species, pollination is by bees and lycaenid butterflies for chasmogamous flowers and generalist bees/flies for others; C. madagascarica likely similar given genus pollination patterns (deceit and pollen-rewarding strategies).",mixed_mating,likely_SC,inference,medium
Hypoxis angustifolia Lam.,yellow,actinomorphic,bees & flies,"Hypoxis (Hypoxidaceae) flowers are typically yellow and open, often insect-pollinated by generalist bees and flies in related species; specific pollination data for H. angustifolia not found",mixed_mating,likely_SC,inference,low
Monoporus A.DC.,white to cream,actinomorphic,bees & flies,"Monoporus (Rubiaceae) flowers fit small, actinomorphic insect-attracting syndrome; generalist insect pollination inferred from family traits, species-specific data lacking",mixed_mating,likely_SI,inference,low
Ochna ciliata Lam.,yellow to orange,actinomorphic,bees & butterflies,Ochna (Ochnaceae) flowers are brightly coloured with nectar and are typically visited by bees and butterflies; specific pollination studies for O. ciliata not found,mixed_mating,likely_SC,inference,medium
Tarenna madagascariensis (Tef.) I.M.Turfer,white to cream,actinomorphic,bees & flies,"Tarenna (Rubiaceae) flowers are small and open, attracting generalist insect visitors including bees and flies; species-specific pollination unknown",mixed_mating,likely_SI,inference,low
Dichapetalum Thouars,greenish to cream,actinomorphic,bees & flies,Dichapetalum (Dichapetalaceae) species have small flowers often visited by generalist insects; direct pollination information is lacking,mixed_mating,likely_SC,inference,low
Ficus antandronarum (H.Perrier) C.C.Berg,none (syconium),none,wasps,"Like all figs (Ficus), this species has an obligate mutualism with fig wasps (Agaonidae) for pollination",obligate_outcrossing,SI,flora,high  
Ficus tiliifolia Baker,none (syconium),none,wasps,"As a Ficus species, it is pollinated by host-specific fig wasps (Agaonidae) in an obligate mutualism; typical fig pollination syndrome",obligate_outcrossing,SI,flora,high  
Nematostylis anthophylla (A.Rich. ex DC.) Baill.,cream to white,actinomorphic,bees & flies,"Nematostylis (Rubiaceae) has small, open flowers typical of Rubiaceae insect pollination; no specific pollination studies found",mixed_mating,likely_SI,inference,low
Phoenix reclinata Jacq.,greenish,none,wind,Palms (Arecaceae) like Phoenix have reduced flowers and are generally pollinated by wind and generalist insects; wind is likely dominant,mixed_mating,likely_SC,inference,medium
Symphonia urophylla (Decne. ex Planch. & Triana) Vesque,white to cream,actinomorphic,bees & flies,"Symphonia (Clusiaceae) flowers in related species are nectar-producing and insect-visited, especially by bees and flies; specific data for S. urophylla lacking",mixed_mating,likely_SI,inference,low
Vangueria madagascariensis J.F.Gmel.,yellow to cream,actinomorphic,bees & flies,"Vanguerieae (Rubiaceae) flowers are generally insect-pollinated; most species in the tribe are likely visited by generalist insects such as bees, though some larger species may attract birds/insects; specific pollination data for V. madagascariensis are unavailable",mixed_mating,likely_SI,inference,low
Wielandia mimosoides (Baill.) Petra Hoffm. & McPherson,white to cream,actinomorphic,bees & flies,Wielandia (Putranjivaceae/Salicaceae s.l.) has small open flowers typical of generalist insect visitors; no direct pollination studies found,mixed_mating,likely_SC,inference,low
Chassalia pentachotoma Bremek.,white to cream,actinomorphic,bees & flies,Chassalia (Rubiaceae) flowers are small and nectariferous in related species; generalist insect pollination is expected,mixed_mating,likely_SI,inference,low
Dracaena fontanesiana Schult. & Schult.f.,white to cream,actinomorphic,moths & insects,"Dracaena flowers are strongly scented and often open at night in related species, attracting moths and other insects in the wild (e.g., Dracaena fragrans attracts night flying insects) [oai_citation:0‡Default](https://www.nparks.gov.sg/florafaunaweb/flora/1/9/1953?utm_source=chatgpt.com)",mixed_mating,likely_SC,inference,medium
Grewia lavanalensis Baill.,yellow to cream,actinomorphic,bees & butterflies,"Grewia (Malvaceae s.l./Tiliaceae) has colourful, nectar-bearing flowers that attract generalist insects (bees, butterflies) in related taxa",mixed_mating,likely_SC,inference,medium
Koehneria madagascariensis (Baker) S.A.Graham,white to cream,actinomorphic,bees & flies,Koehneria (Connaraceae/Malagasy tree family) has open flowers likely visited by generalist insect visitors; specific pollination data absent,mixed_mating,likely_SC,inference,low
Ochna pervilleana Baill.,yellow to orange,actinomorphic,butterflies & bees,"Ochna (Ochnaceae) flowers are often bright and nectar-rich, attracting bees and butterflies in related species; species-specific pollination records lacking",mixed_mating,likely_SC,inference,medium
Pachypodium rosulatum var. gracilius H.E.P.Perrier,yellow,zygomorphic,bees & flies,"Pachypodium (Apocynaceae) flowers are tubular and showy in related species, attracting bees and flies; no direct pollination study for this variety found",mixed_mating,likely_SI,inference,medium
Paracarphalea kirondron (Baill.) Razafim.,white to cream,actinomorphic,bees & flies,Paracarphalea (Rubiaceae) has typical open flowers of the family; generalist insect visitation inferred but no species-specific data,mixed_mating,likely_SI,inference,low
Rhodocolea racemosa (Lam.) H.Perrier,white to cream,actinomorphic,lemurs & insects,Madagascar Rhodocolea flowers are reported to be adapted for pollination by lemurs (likely via scent/position) and also attract generalist insects; data from related forest plant observations,mixed_mating,likely_SI,flora & inference,medium
Rinorea greveana Baill.,white to cream,actinomorphic,butterflies & insects,"Rinorea (Violaceae) genus flowers are small, open, and can attract generalist insect visitors; no specific pollination reports for R. greveana but many Rinorea are larval host plants for forest butterflies and likely insect-pollinated",mixed_mating,likely_SI,inference,low
Xylopia buxifolia Baill.,yellow to cream,actinomorphic,bees & beetles,"Xylopia (Annonaceae) flowers are typically pollinated by beetles and small bees in related species, often with strong scents and thermogenic floral parts; no species pollination data found",mixed_mating,likely_SI,inference,low
Campylospermum Tiegh.,yellow/cream,actinomorphic,bees & flies,Campylospermum (Ochnaceae) flowers are often insect-visited in related taxa; pollination biology for this genus is poorly documented but generalist insect syndrome is inferred,mixed_mating,likely_SI,inference,low
Commiphora aprevalii (Baill.) Guillaumin,greenish to cream,actinomorphic,flies & general insects,Commiphora (Burseraceae) has small flowers with resin/nectar that attract generalist insect visitors including flies and bees in related species; specific pollination info lacking,mixed_mating,likely_SC,inference,low
Melanoxerus suavissimus (Homolle ex Cavaco) Kainul. & B.Bremer,white to cream,actinomorphic,bees & flies,"Melanoxerus (Rubiaceae) flowers are typical of insect-pollinated Rubiaceae (nectariferous, clustered) and generalist insect pollinators are likely; no species data found",mixed_mating,likely_SC,inference,low
Polyscias ornifolia (Baker) Harms,greenish/cream,actinomorphic,bees & flies,"Polyscias (Araliaceae) umbels attract generalist insects, especially small bees and flies; species-specific pollination unknown",mixed_mating,likely_SC,inference,low
Symphonia pauciflora Baker,white/cream,actinomorphic,bees & flies,Symphonia (Clusiaceae) has nectar-bearing flowers in related species and is visited by generalist insects like bees and flies; detailed pollination research not found,mixed_mating,likely_SI,inference,low
Trichilia mucronata (Cav.) Forsyth fil.,white to cream,actinomorphic,bees & flies,Trichilia (Meliaceae) has unisexual or bisexual small flowers in inflorescences; generalist insect visitors such as bees and flies are typical for related tropical tree species,mixed_mating,likely_SI,inference,low
Aerangis macrocentra (Schltr.) Schltr.,white to pale green,zygomorphic,moths,"Aerangis (Orchidaceae, Aerangidinae) flowers are night-scented with spurs; related species in the subtribe are pollinated by hawkmoths (Sphingidae) and other long-tongued moths",mixed_mating,likely_SI,inference,medium
Dioscorea seriflora Jum. & H.Perrier,greenish to cream,actinomorphic,insects & possibly wind,"Dioscorea (Dioscoreaceae) flowers are small and often insect-visited in related species (thrips, small bees/flies), with some taxa showing wind pollination; species-level data absent",mixed_mating,likely_SC,inference,low 
Isachne mauritiana Kunth,greenish,none,wind,Isachne (Poaceae) grasses have highly reduced flowers typical of wind pollination; specific species data lacking but grass syndrome is consistent,obligate_outcrossing,likely_SI,flora,medium
Jumellea rigida Schltr.,white to pale green,zygomorphic,moths,"Jumellea (Orchidaceae, Angraecinae) orchids typically have nectar spurs and traits associated with nocturnal hawkmoth pollination; no species-specific study found but genus pattern is strong",mixed_mating,likely_SI,inference,medium
Oncostemum leprosum Mez,white to cream,actinomorphic,bees & flies,"Oncostemum (Primulaceae/Myrsinoideae) flowers are open and small, often visited by generalist insects such as bees and flies in related species; no specific pollination data located",mixed_mating,likely_SC,inference,low
Utricularia livida E.Mey.,yellow/white,zygomorphic,insects,"Most bladderworts (Utricularia, Lentibulariaceae) are insect-pollinated (inc. bees, flies, butterflies, moths); breeding systems in studied taxa range from insect-mediated selfing to cross-pollination",mixed_mating,likely_SC,inference,medium
Aeranthes angustidens H.Perrier,white/green,zygomorphic,moths & insects,"Aeranthes (Orchidaceae) orchids have flowers with spurs and are generally insect-pollinated, especially by nocturnal moths and possibly other insects, inferred from related orchid groups",mixed_mating,likely_SI,inference,medium
Aeranthes peyrotii Bosser,greenish/white,zygomorphic,moths,Angraeces-type orchids have nectar spurs and trait syndrome typical of hawkmoth pollination in related species; specific pollinator records lacking,mixed_mating,likely_SI,inference,medium
Angraecum melanostictum Schltr.,white or greenish,zygomorphic,moths,"Angraecoid orchids possess long nectar spurs and are classically pollinated by hawkmoths (e.g., Angraecum sesquipedale and related Angraecum sororium) via long-tongued Lepidoptera",mixed_mating,likely_SI,review,medium
Angraecum sororium Schltr.,white to pale green,zygomorphic,moths,"Pollination by long-tongued hawkmoths has been observed in Angraecum sororium in Madagascar, consistent with Darwin’s orchid pollination syndrome",mixed_mating,likely_SI,review,medium
Eliea articulata (Lam.) Cambess.,white or cream,actinomorphic,bees & flies,"Eliea (likely Rubiaceae or allied family) flowers are small and open; typical generalist insect visitors include bees and flies, but species-specific pollination data absent",mixed_mating,likely_SI,inference,low
Flacourtia indica (Burm.f.) Merr.,white or cream,actinomorphic,bees,Flacourtia flowers are insect-pollinated (entomophilous) and frequented by bees and other insects; occasionally cleistogamy/selfing cited in Flacourtia reproductive descriptions,mixed_mating,likely_SC,flora & inference,medium
Garcinia chapelieri (Planch. & Triana) H.Perrier,yellow or greenish,actinomorphic,bees & general insects,"Garcinia spp. in Clusiaceae often have insect-pollinated small flowers with nectar and pollen rewards; detailed pollination study for G. chapelieri not found, but general insect syndrome fits",mixed_mating,likely_SI,inference,low
Croton mongue Baill.,greenish/brownish,actinomorphic,insects,"Croton flowers are unisexual and may attract insects (nectaries present in many Croton spp.), though some species show wind or mixed pollination; specific pollinator data lacking for C. mongue",mixed_mating,likely_SC,inference,low
Dicoryphe Thouars,white to cream,actinomorphic,bees & flies,"Dicoryphe (Hamamelidaceae) is a small Madagascan tree/shrub genus with simple open flowers; generalist insect visitors (bees, flies) are likely but species-level data lacking",mixed_mating,likely_SI,inference,low
Diospyros lokohensis (H.Perrier) G.E.Schatz & Lowry,white to cream,actinomorphic,bees & flies,Diospyros (Ebenaceae) generally has small nectarless flowers visited by generalist insects such as bees and flies in related species; no published pollination data for this species found,mixed_mating,likely_SI,inference,low
Ellipanthus Hook.f.,white to cream,actinomorphic,bees & flies,Ellipanthus (likely in Connaraceae/Rosales-aligned families) has small open flowers typical of generalist insect pollination; specific studies are unavailable,mixed_mating,likely_SI,inference,low
Rhopalocarpus similis Hemsl.,white to cream,actinomorphic,bees & flies,"Rhopalocarpus (Sphaerosepalaceae) flowers are simple and likely visited by generalist insects such as bees and flies, although no pollination studies were found for R. similis specifically",mixed_mating,likely_SC,inference,low
Stenotaphrum dimidiatum (L.) Brongn.,greenish,none,wind,"As a member of the grass family Poaceae, *Stenotaphrum dimidiatum* has reduced flowers and is wind-pollinated as typical for grasses",obligate_outcrossing,likely_SI,flora,medium
